year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2017,8,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",579.00,216.00,50.51,9.44,119.10,0.12,36.83,11.00,0.00,13971.00,2756.00,1572.00,6656.00,2.00,2985.00
2017,8,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1299.00,394.00,63.74,2.50,275.84,1.00,50.92,1.00,0.00,22846.00,4128.00,93.00,15341.00,30.00,3254.00
2017,8,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",187.00,70.00,9.87,0.15,48.24,0.00,11.73,0.00,1.00,6579.00,1162.00,18.00,4053.00,0.00,1346.00
2017,8,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",62.00,7.00,3.32,0.00,0.00,0.00,3.68,0.00,0.00,419.00,237.00,0.00,0.00,0.00,182.00
2017,8,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",3325.00,1419.00,115.85,64.65,635.08,1.93,601.48,110.00,1.00,134670.00,19512.00,5270.00,58025.00,109.00,51754.00
2017,8,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",6027.00,1616.00,233.25,48.00,940.14,1.19,393.41,83.00,4.00,111012.00,19528.00,4317.00,54826.00,81.00,32260.00
2017,8,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",1906.00,797.00,95.60,14.82,430.28,0.71,255.59,14.00,3.00,51463.00,6237.00,585.00,28420.00,12.00,16209.00
2017,8,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",1586.00,788.00,128.02,39.51,336.46,0.00,284.01,94.00,0.00,50334.00,8485.00,2987.00,20641.00,0.00,18221.00
2017,8,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1194.00,433.00,79.74,10.11,249.63,2.00,91.52,10.00,0.00,24113.00,4539.00,835.00,12547.00,169.00,6023.00
2017,8,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",486.00,139.00,11.36,0.00,108.38,1.00,18.26,6.00,10.00,6699.00,741.00,0.00,5087.00,38.00,833.00
2017,7,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1272.00,245.00,81.31,10.96,116.90,0.97,34.86,1.00,0.00,13236.00,5932.00,750.00,4534.00,68.00,1952.00
2017,7,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",182.00,53.00,13.99,1.48,25.62,0.00,11.91,0.00,0.00,4066.00,905.00,91.00,1483.00,0.00,1587.00
2017,7,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",62.00,8.00,6.83,0.00,0.00,0.00,1.17,0.00,0.00,180.00,161.00,0.00,0.00,0.00,19.00
2017,7,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1209.00,345.00,95.37,19.92,110.78,1.11,117.83,14.00,4.00,21521.00,6622.00,2185.00,4941.00,42.00,7731.00
2017,7,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",477.00,97.00,16.42,0.00,64.49,0.00,16.09,0.00,1.00,4135.00,794.00,0.00,2694.00,0.00,647.00
2017,7,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",565.00,163.00,43.49,4.40,64.10,0.36,50.65,6.00,2.00,10357.00,2821.00,328.00,3096.00,12.00,4100.00
2017,7,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",3244.00,849.00,95.67,30.11,343.72,2.40,377.10,12.00,3.00,69149.00,19426.00,2388.00,20779.00,41.00,26515.00
2017,7,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",5372.00,934.00,216.07,36.36,352.82,0.00,328.74,15.00,4.00,68595.00,19648.00,3770.00,16809.00,0.00,28368.00
2017,7,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",1886.00,493.00,65.44,11.04,195.12,2.56,218.83,8.00,1.00,25168.00,3538.00,661.00,8935.00,118.00,11916.00
2017,7,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",1516.00,460.00,86.45,16.05,157.53,0.31,199.67,30.00,0.00,25682.00,4880.00,836.00,8238.00,9.00,11719.00
2017,6,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1178.00,444.00,119.51,15.82,185.90,0.93,121.84,17.00,3.00,26773.00,6959.00,1408.00,8885.00,24.00,9497.00
2017,6,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",436.00,111.00,15.75,0.00,79.24,0.00,16.01,2.00,8.00,5684.00,804.00,0.00,4005.00,0.00,875.00
2017,6,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",526.00,189.00,44.64,5.22,98.00,0.00,41.14,8.00,0.00,16281.00,3877.00,1203.00,6959.00,0.00,4242.00
2017,6,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1147.00,288.00,49.96,7.64,184.29,0.00,46.11,0.00,0.00,19205.00,3905.00,636.00,11420.00,0.00,3244.00
2017,6,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",189.00,64.00,9.12,1.28,39.51,0.00,14.09,1.00,1.00,5236.00,653.00,77.00,2763.00,0.00,1743.00
2017,6,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",60.00,18.00,16.68,0.00,0.00,0.00,1.32,0.00,0.00,500.00,389.00,0.00,0.00,0.00,111.00
2017,6,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",2995.00,824.00,82.78,34.01,370.51,0.20,336.49,54.00,4.00,76810.00,16016.00,3916.00,29377.00,6.00,27495.00
2017,6,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",5118.00,1266.00,252.83,28.25,657.71,0.00,327.22,13.00,5.00,88410.00,21295.00,2369.00,37429.00,0.00,27317.00
2017,6,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",1829.00,657.00,110.45,6.37,282.17,3.97,254.04,27.00,2.00,40825.00,5821.00,303.00,19203.00,252.00,15246.00
